stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone
120437,1663,Honkapirtti E,,65.08390900000002,25.401261,2,http://oulunliikenne.fi/1663,0,,Europe/Helsinki
120415,1637,Ojatie E,,65.084802,25.67671,3,http://oulunliikenne.fi/1637,0,,Europe/Helsinki
148109,2432,Sanginsuun th E,,64.96429000000002,25.686985,3,http://oulunliikenne.fi/2432,0,,Europe/Helsinki
121009,2391,Kaskiahonkuja E,,64.972349,25.596662,2,http://oulunliikenne.fi/2391,0,,Europe/Helsinki
120599,1832,Vilkkutie E,,65.048858,25.436116,2,http://oulunliikenne.fi/1832,0,,Europe/Helsinki
307156,4006,Suojuoksuntie P,,64.99762778,25.59725833,2,http://oulunliikenne.fi/4006,0,,Europe/Helsinki
101503,1281,Taatanperän th P,,65.216599,25.36991,3,http://oulunliikenne.fi/1281,0,,Europe/Helsinki
120863,2201,Knuutila P,,64.998558,25.554773,2,http://oulunliikenne.fi/2201,0,,Europe/Helsinki
307137,2692,Koulutie,,64.917745,25.477551,3,http://oulunliikenne.fi/2692,0,,Europe/Helsinki
101568,2210,Kempeleentie E,,65.000035,25.463651,2,http://oulunliikenne.fi/2210,0,,Europe/Helsinki
231890,4009,Kivikkokangas E,,64.99776193696142,25.59128678559366,2,http://oulunliikenne.fi/4009,0,,Europe/Helsinki
120693,1990,Valtatie P,,65.026974,25.464373,2,http://oulunliikenne.fi/1990,0,,Europe/Helsinki
101071,2464,Niemenväli E,,64.965199,25.36655,3,http://oulunliikenne.fi/2464,0,,Europe/Helsinki
120081,1274,Mustakangas E,,65.224586,25.302874,3,http://oulunliikenne.fi/1274,0,,Europe/Helsinki
101042,3152,Pappilanpelto E,,64.80337900000002,25.420693,4,http://oulunliikenne.fi/3152,0,,Europe/Helsinki
101621,1442,Hurunmäki P,,65.154917,25.617068,3,http://oulunliikenne.fi/1442,0,,Europe/Helsinki
101270,1850,Lamu E,,65.040309,25.890902,4,http://oulunliikenne.fi/1850,0,,Europe/Helsinki
121105,2501,Ropinakuja P,,64.957742,25.553144,2,http://oulunliikenne.fi/2501,0,,Europe/Helsinki
150165,2528,Maksakuja E,,64.953647,25.385754,3,http://oulunliikenne.fi/2528,0,,Europe/Helsinki
186032,3314,Urpiaisentie P2,,65.07076600000002,25.519907,2,http://oulunliikenne.fi/3314,0,,Europe/Helsinki
120717,2018,Kaplastie P,,65.022176,25.55914,2,http://oulunliikenne.fi/2018,0,,Europe/Helsinki
188493,1976,Typpitie E,,65.027404,25.512272,2,http://oulunliikenne.fi/1976,0,,Europe/Helsinki
121114,2513,Kaakkurin koulu P,,64.955587,25.53186,2,http://oulunliikenne.fi/2513,0,,Europe/Helsinki
188511,1807,Kaartintie E,,65.053084,25.600999,2,http://oulunliikenne.fi/1807,0,,Europe/Helsinki
120940,2303,Patamäki E,,64.985441,25.571459,2,http://oulunliikenne.fi/2303,0,,Europe/Helsinki
150066,2842,Heikkinen P,,64.856771,25.617306,3,http://oulunliikenne.fi/2842,0,,Europe/Helsinki
300825,2323,Käpylä,,64.987982,25.258173,3,http://oulunliikenne.fi/2323,0,,Europe/Helsinki
308738,3350,Ylikylän koulu P,,64.89778,25.543946,3,http://oulunliikenne.fi/3350,0,,Europe/Helsinki
190074,2985,Niittomiehentie E,,64.814176,25.427819,4,http://oulunliikenne.fi/2985,0,,Europe/Helsinki
101047,2551,Kempeleenlahti E,,64.947463,25.480356,2,http://oulunliikenne.fi/2551,0,,Europe/Helsinki
188495,1968,Hintta E,,65.029298,25.524965,2,http://oulunliikenne.fi/1968,0,,Europe/Helsinki
120811,2127,Rautasaari P,,65.00863,25.477749,2,http://oulunliikenne.fi/2127,0,,Europe/Helsinki
101239,8085,Uusi-Siira P,,64.77724000000002,25.726459,4,http://oulunliikenne.fi/8085,0,,Europe/Helsinki
101716,1159,Juutinen E,,65.320187,25.641125,5,http://oulunliikenne.fi/1159,0,,Europe/Helsinki
189536,8219,Sotkajärvi E,,64.785,26.2533,5,http://oulunliikenne.fi/8219,0,,Europe/Helsinki
184239,1124,Manninen P,,65.330503,25.691898,5,http://oulunliikenne.fi/1124,0,,Europe/Helsinki
120996,2374,Haarankankaantie P,,64.973107,25.581924,2,http://oulunliikenne.fi/2374,0,,Europe/Helsinki
307196,3325,Loukkutie E,,65.08628889000002,25.44488056,2,http://oulunliikenne.fi/3325,0,,Europe/Helsinki
101512,1379,Niemeläntörmä E,,65.182277,25.358677,3,http://oulunliikenne.fi/1379,0,,Europe/Helsinki
189666,2785,Leppiniemen kauppa E,,64.840306,26.047504,4,http://oulunliikenne.fi/2785,0,,Europe/Helsinki
121025,2410,Turkkitie P,,64.970957,25.521254,2,http://oulunliikenne.fi/2410,0,,Europe/Helsinki
152759,1840,Polvisuontie E,,65.044856,25.648619,2,http://oulunliikenne.fi/1840,0,,Europe/Helsinki
148161,2679,Anttosentie P,,64.913084,25.824418,3,http://oulunliikenne.fi/2679,0,,Europe/Helsinki
184133,3256,Tullikirjurinraitti P,,65.005461,25.472791,1,http://oulunliikenne.fi/3256,0,,Europe/Helsinki
120436,1662,Valkamantie E,,65.082357,25.399652,2,http://oulunliikenne.fi/1662,0,,Europe/Helsinki
190292,1682,Jylkynkankaan th E,,65.073888,25.529067,2,http://oulunliikenne.fi/1682,0,,Europe/Helsinki
148449,1340,Rippala P,,65.192385,25.360037,3,http://oulunliikenne.fi/1340,0,,Europe/Helsinki
121062,2455,Sanginsuun koulu E,,64.962589,25.676208,3,http://oulunliikenne.fi/2455,0,,Europe/Helsinki
101105,8319,Hyypänmäki P,,65.05670000000002,24.8029,5,http://oulunliikenne.fi/8319,0,,Europe/Helsinki
148432,1363,Isojämsä P,,65.184978,25.480592,4,http://oulunliikenne.fi/1363,0,,Europe/Helsinki
184148,3241,Uimahalli P,,65.008251,25.497071,1,http://oulunliikenne.fi/3241,0,,Europe/Helsinki
120748,2053,Kursutie P,,65.018419,25.523465,2,http://oulunliikenne.fi/2053,0,,Europe/Helsinki
101608,1372,Saarijärvi E,,65.180194,25.536366,4,http://oulunliikenne.fi/1372,0,,Europe/Helsinki
